Name;Birthday;Countries Active;Years Active;Proven Victims;Possible Victims;BirthYear;StartYear;Age At The Start of Killing;Notes;Type;Nickname;Reason;Archetype/Classification;Gender;Victim Age;Victim Gender;Targeted Group Type
Viktor Fokin;2/19/1935;Russia;1996-2000;9;10+;1935;1996;61;"Pensioner who lured, killed and then dismembered prostitutes and alcohol abusers in his home, disposing of the remains in garbage containers after; died while imprisoned at a corrective labor colony.";Hate Crime;Grandfather Ripper;Hate Crime;Mission-Oriented (Hate-Crime/Targeted Groups);Male;Adult;Female;None
Edgecombe County Serial Killer;;United States;2000s;9;10;;2000;;Unidentified serial killer who killed nine women and possibly another who disappeared since 2005 around Rocky Mount, North Carolina. Antwan Pittman was convicted in one case.;Unknown;;Femicide;Power and Hedonistic;Female;Adult;Female;None
Joseph Paul Franklin;4/13/1950;United States;1977-1980;sie.15;20;1950;1977;27;White supremacist shooter who confessed to 20 murders and several attempted murders. Executed by lethal injection in 2013.;Unknown;;Power;Power/Control;Male;Adult;Mixed;None
Yoshio Kodaira;1/28/1905;China?Ç¬†Japan;1928?-1946;8-11+;11;1905;;;A serial rapist, Kodaira killed his father-in-law in 1932 and eight to 10 women in Japan between 1945 and 1946, engaging in necrophilia after the fifth murder. Previously (1920s) he had been deployed to Northern China as a sailor in the Imperial Japanese ;Rapist, Necrophiliac, Strangler, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Keith Hunter Jesperson;04.06.1955;United States;1990-1995;8;160;1955;1990;35;Jesperson was convicted of killing eight women by strangulation.;Strangler;The Happy Face Killer;Femicide;Power and Hedonistic;Male;Adult;Female;None
Rodney Alcala;8/23/1943;United States;1971-1979;8;130+;1943;1971;28;"Known as the ""Dating Game Killer"" for appearing on the game show The Dating Game in the middle of his killing years. Was convicted of at least five murders, though his actual total is estimated to be much higher.";Unknown;The Dating Game Killer;Power;Power/Control;Male;Adult;Mixed;None
Kiyotaka Katsuta;8/29/1948;Japan;1982-1983;8;22;1948;1982;34;Strangled or shot people to rob them, using a gun he had stolen from a policeman after running him over with his car. Hanged in 2000.;Strangler;Metropolitan Designated Case 113, Kiyotaka Fujiwara;Power;Power/Control;Male;Adult;Male;None
Pierre Chanal;11/18/1946;France;1980-1988;8;17;1946;1980;34;He was convicted of killing three young men between 1980 and 1987. He was arrested in 1988. During a search of his vehicle, the police found sex toys and a camera with images that included the scenes of Chanal committed some of his crimes. Pierre Chanal c;Unknown;;Power;Power/Control;Male;Adult;Male;None
Christopher Wilder;3/13/1945;United States;1984;8;13+;1945;1984;39;"Killed eight women during a spree before accidentally shooting himself; suspected in the disappearance and murder of more than five more.";Unknown;The Beauty Queen Killer;Femicide;Power and Hedonistic;Male;Adult;Female;None
Axeman of New Orleans;;United States;1918-1919;8;12+;;1918;;Unidentified serial killer of at least eight people in the New Orleans area from May 1918 to October 1919.;Unknown;;Power;Power/Control;Male;Adult;Mixed;None
Vladimir Retunsky;;Russia;1990-1996;8;12;;1990;;"Kidnapped, raped and killed hitchhikers in his hometown of Povorino, possibly abusing their corpses; initially sentenced to death, but later reduced to 15 years imprisonment and released in 2015.";Rapist, Sexual Predator;The Povorinsky Maniac;Sexual Assault;Hedonistic - Lust;Male;Adult;Male;None
Gilbert Paul Jordan;12.12.1931;Canada;1965-1987;8;10;1931;1965;34;He would typically find alcoholic women in bars in Vancouver's destitute Downtown Eastside, buy them drinks or pay them for sex and encourage them to drink with him. When they passed out, he would pour more liquor down their throats. The resulting deaths ;Rapist, Sexual Predator;The Boozing Barber, The Alcohol Murders;Power, Sexual Assault;Hedonistic;Male;Adult;Female;None
Nikolai Dzhumagaliev;11/15/1952;Soviet Union;1980 and earlier;7;50-100;1952;;;Lured women in a park at night and hacked them with an axe as part of a plan to rid the world of prostitution. Also cooked parts of his victims and ate them himself or served them to other people as part of ethnic dishes. Found innocent by reason of insan;Cannibal, Rapist, Cannibal, Sexual Predator;Metal Fang, Kolya the Maneater;Cannibalism, Sexual Assault;Hedonistic;Male;Adult;Female;None
Manuel Delgado Villegas;1/25/1943;Spain?Ç¬†France (claimed)?Ç¬†Italy (claimed);1964-1971;7;48;1943;1964;21;"Wandering criminal known as El Arropiero (""The Arrope Trader"") and El Estrangulador del Puerto (""The Strangler of Puerto""). Confessed to the impulsive murders of 48 people of different sex, age, wealth and sexual orientation in three countries (including ";Sexual Predator;"El Arropiero (""The Arrope Trader""), El Estrangulador del Puerto (""The Strangler of Puerto"").";Sexual Assault;Hedonistic;Male;Adult;Male;None
Ershad Sikder;05.10.2004;Bangladesh;1991-1999;7;43+;2004;1991;-13;"Career criminal and corrupt politician responsible for numerous torture murders in the 1990s; convincted on seven counts and executed 2004.";Unknown;;Sadistic Behavior;Hedonistic - Thrill;Male;Adult;Mixed;None
Ivan Milat;12/27/1944;Australia;1990s;7;23-37;1944;1990;46;"Convicted of the Backpacker murders; sentenced to seven consecutive life sentences plus 18 years without the possibility of parole. May have had accomplices.";Unknown;;Power;Power/Control;Male;Adult;Mixed;None
Michael Wayne McGray;07.11.1965;Canada?Ç¬†United States;1980s-2010s;7;18;1965;1980;15;Convicted of the murder of six people in the late 1990s, including a woman and her 11-year-old daughter. Claims to have killed 11 others, including murders committed while on parole and while on a three-day pass from prison. Finally imprisoned for life, k;Unknown;;Femicide;Power and Hedonistic;Female;Adult;Female;None
Kenneth Erskine;07.01.1963;United Kingdom;1986;7;11;1963;1986;23;He was a burglar who raped and strangled at least seven elderly women after breaking into their homes.;Hate Crime, Sexual Predator, Strangler, Rapist;The Stockwell Strangler;Targeted Groups, Sexual Assault;Hedonistic;Male;Adult;Female;Elderly
David Carpenter;05.06.1930;United States;1979-1981;7;11;1930;1979;49;Murdered women on San Francisco-area hiking trails between 1979 and 1981. Sentenced to death.;Rapist, Stalker, Sexual Predator;The Trailside Killer;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Vladimir Kuzmin;9/14/1965;Russia;1997;7;11;1965;1997;32;"Raped, murdered and robbed mostly young boys and men in Moscow; assisted in his first two murders by Denis Kalistratov; sentenced to life imprisonment.";Rapist, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Adult;Male;None
Bruce McArthur;10.08.1951;Canada;2008-2017;7;10-100;1951;2008;57;Gay serial murderer and rapist who would target homosexual men, and hide their bodies in garden planters. He was known as Santa for his seasonal employment at a local shopping mall. Authorities found evidence including photographs of victims in his apartm;Rapist, Sexual Predator;Santa;Sexual Assault;Hedonistic - Lust;Male;Adult;Male;None
Tommy Recco;;France;1960-1980;7;10;;1960;;"Murdered his godfather in 1960; after release, killed six cashiers in two separate store raids; also suspected of murdering a trio of German tourists.";Unknown;;Power;Power/Control;Male;Adult;Male;None
Ohio Prostitute Killer;;United States;1981-2004;7;10;;1981;;"Supposedly murdered prostitutes and exotic dancers; his first victim was Marcia King, who was identified in 2018.";Hate Crime;;Hate Crime;Mission-Oriented (Hate-Crime/Targeted Groups);Male;Adult;Female;None
Derrick Todd Lee;11.05.1968;United States;2002;7;10;1968;2002;34;Lee was linked by DNA evidence to the deaths of seven women in Baton Rouge and Lafayette, Louisiana between 1992 and 2002. Lee is believed to have murdered several other women in Louisiana, Mississippi and Alabama. He scored an average of 65 on various st;Medical, Rapist, Necrophiliac, Stalker, Sexual Predator;Baton Rouge Serial Killer, South Louisiana Serial Killer;Sexual Assault;Hedonistic - Lust;Female;Adult;Female;None
Tom??¬?s Maldonado Cera;;Colombia;2002-2018;7;10;;2002;;Killed people in Barranquila for the purpose of satanic rituals.;Unknown;The Satanist;Occult Ritual;Visionary;Male;Adult;Mixed;None
David Berkowitz;06.01.1953;United States;1976-1977;6;;1953;1976;23;He went after young women and couples killing 6 people and wounding 7 others with a .44 caliber Bulldog revolver.  He was caught when an eyewitness to his last murder saw he had a parking ticket on his car.  He was sentenced to life in prison with parole ;Unknown;Son of Sam, The .44 Caliber Killer;Femicide;Power and Hedonistic;Male;Adult;Female;None
Tommy Lynn Sells;6/28/1964;United States;1980-1999;6;70;1964;1980;16;Drifter active throughout the United States who specialized in killing children and multiple victims after breaking into their homes. Caught when a 10-year-old girl survived his attack and provided a description of him. Executed in 2014.;Rapist, Strangler, Sexual Predator;The Cross Country Killer;Sexual Assault;Hedonistic - Lust;Male;Child;Mixed;None
W?Ö¬Çadys?Ö¬Çaw Mazurkiewicz;1/31/1911;Poland;1950s;6;30;1911;1950;39;"Indicted of, and confessed to having committed 30 murders; convicted of six and hanged in 1957.";Unknown;The Gentleman Killer;Power;Power/Control;Male;Adult;Mixed;None
Gong Runbo;;China;2005-2006;6;20+;;2005;;"Found guilty of the murders of six children and teenagers aged between nine and 16 from 2005 to 2006; executed in 2007.";Pedophile, Rapist, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Child;Mixed;None
Cristopher Ch??¬?vez Cuellar;;Colombia;1990s-2015;6;15+;;1990;;"Killed between 6 and at least 15 people starting from the 1990s, including 4 underage brothers; sentenced to 40 years imprisonment.";Unknown;The Soulless;Power;Power/Control;Female;Adult;Male;None
Andr??¬?s P??¬?ndy;06.01.1927;Belgium;1986-1990;6;14+;1927;1986;59;Former clergyman, killed his two wives and four of his children with the help of a fifth he was having an incestuous affair with, and whom denounced him to the authorities seven years later. Sentenced to life imprisonment in 2002.;Unknown;Father Bluebeard;Power;Power/Control;Male;Child;Male;None
John Wayne Glover;11/26/1932;Australia;1989-1990;6;13;1932;1989;57;Before Glover committed suicide, he gave an outside visitor a sketch of a park that showed two pine trees with the number nine in the middle. The number nine is said to either represent the total number of murders or the number of unsolved murders committ;Unknown;The Granny Killer;Power;Power/Control;Female;Adult;Mixed;None
Alexander Sergeychik;;Belarus;2000-2006;6;12;;2000;;Killed between six and 12 people under the influence of alcohol. Executed in 2007.;Unknown;;Under the Influence;Power/Control;Male;Adult;Mixed;None
Adri??¬?n Arroyo Guti??¬©rrez;;Costa Rica;2014-2015;6;11;;2014;;"Raped and strangled drug-addicted prostitutes in San Jos??¬©; sentenced to 110 years imprisonment.";Rapist, Strangler, Sexual Predator;The Southern Psychopath;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Joseph Naso;01.07.1934;United States;1977-1994;6;10;1934;1977;43;"A freelance photographers who raped and strangled to death women in California. Arrested in 2011 and sentenced to death two years later. Known as ""The Double Initial Killer"" since first four victims to be identified bore double initials.";Rapist, Sexual Predator;The Double Initial Killer, Crazy Joe;Sexual Assault;Hedonistic - Lust;Female;Adult;Female;None
Terry Peder Rasmussen;12/23/1943;United States;1978-2002;6;6+;1943;1978;35;Main suspect in the Bear Brook murders, as well as other murders.;Unknown;Chameleon Killer;Power;Power/Control;Female;Adult;Mixed;None
Richard Cottingham;11/25/1946;United States;1977-1980;5;85-100;1946;1977;31;"Killer operating in New York and New Jersey who often targeted prostitutes and utilized mutilation as well as dismemberment in his killings. Known as the ""Torso Killer"", convicted of five murders. He made claims of victim count as up to a hundred, however";Hate Crime;The Torso Killer, The Butcher of Times Square, The New York Ripper, The Times Square Torso Ripper.;Hate Crime;Mission-Oriented (Hate-Crime/Targeted Groups);Male;Adult;Female;None
Zodiac Killer;;United States;1962-1977;5;37;;1962;;Targeted young couples. Remains unsolved but open in the California jurisdictions where the five certain Zodiac murders occurred. Potentially 37 total victims claimed but unverified.;Unknown;;Power;Power/Control;Female;Adult;Mixed;None
John Floyd Thomas Jr.;7/26/1936;United States;1957-2009;5;17-25;1936;1957;21;Serial murderer and rapist with one of the longest criminal careers in the US.;Necrophiliac, Strangler, Rapist, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Carl Panzram;6/28/1891;United States Portuguese Angola;1915-1929;5;22;1891;1915;24;From 1920 to 1928, he claimed in a posthumous autobiography to have committed over 22 killings, and sodomy of more than 1000 young men. Executed in 1930 by hanging.;Rapist, Torturer, Strangler, Sexual Predator;Jefferson Baldwin;Sexual Assault;Hedonistic - Lust;Male;Adult;Male;None
Steve Wright;4/24/1958;United Kingdom;2006;5;maj.22;1958;2006;48;"Referred to as ""Suffolk murders"", ""Ipswich murders"", ""Ipswich Ripper"", ""Suffolk Ripper"", ""Suffolk Strangler"", ""East Anglia Ripper"", ""Red Light Ripper"" and ""the Suffolkator"". Murdered five prostitutes, all of whom worked in Ipswich in 2006. There are possi";Hate Crime, Strangler;Ipswich Ripper, Suffolk Ripper, Red Light Ripper, the Suffolkator;Hate Crime;Mission-Oriented (Hate-Crime/Targeted Groups);Female;Adult;Female;None
Michel Peiry;05.01.1959;Switzerland?Ç¬†France?Ç¬†United States?Ç¬†Yugoslavia (suspected)?Ç¬†Italy (suspected);1981-1987;5;11;1959;1981;22;"Swiss soldier who sexually abused and murdered at least 5 hitchhikers in several countries; sentenced to life imprisonment.";Sexual Predator;The Sadist of Romont;Sexual Assault;Hedonistic - Lust;Male;Adult;Male;None
Hubert Pil?Ñ¬ç??¬≠k;10/14/1891;Czechoslovakia;1948-1951;5;10+;1891;1948;57;Made money smuggling people across the Czechoslovakia-Germany border, but killed most of his customers. Total number of his victims is unknown.;Financial Motive;;Financial Gain;Hedonistic;Male;Adult;Male;None
Tom Dillon;07.09.1950;United States;1989-1992;5;;1950;1989;39;Killed outdoorsmen in rural Ohio by sniping them from afar with a hunting rifle.;Unknown;;Power;Power/Control;Male;Adult;Male;None
Joe Metheny;03.02.1955;United States;1976-1996;5;10;1955;1976;21;"Butchered his victims, then served them at BBQs at his roadside stand; died in prison.";Unknown;;Power;Power/Control;Male;Adult;Mixed;None
Karl Denke;2/11/1860;German Empire ?Ç¬†Germany;1900-1924;42;42;1860;1900;40;Killed and cannibalized poor travelers and homeless vagrants. Kept a ledger recording his murders with at least 31 names in it (including Vincenz Olivier, his only surviving victim), thus confirming at least 30 victims. But due to the massive amount of hu;Cannibal;The Cannibal of Zi?Ñ¬ôbice, Vatter Denke;Cannibalism;Hedonistic;Male;Adult;Male;None
Francisco das Chagas Rodrigues de Brito;;Brazil;1989-2003;30;42;;1989;;"Pedophile who sexually abused, murdered and mutilated children in Maranh??¬?o and Par??¬?; sentenced to 217 years imprisonment.";Pedophile, Rapist, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Child;Male;None
Luis Gregorio Ram??¬≠rez Maestre;9/30/1980;Colombia;2010-2013;30;30;1980;2010;30;Killed motorists in various municipalities before his 2012 capture.;Torturer, Strangler;The Monster of Tenerife, The Assassin of Tenerife, The Dexter Creole;Power;Power/Control;Male;Adult;Mixed;None
David Thabo Simelane;;Swaziland;2000-2001;28;45;;2000;;"Sexually assaulted women he befriended in forests, stabbing or strangling them afterward; sentenced to death.";Sexual Predator, Strangler, Rapist;;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Zhang Jun;08.05.1966;China;1993-2000;28;28;1966;1993;27;Robbed 22 stores in several Chinese provinces, killing 28 people in the process. Executed in 2001.;Unknown;;Power;Power/Control;Male;Adult;Mixed;None
Cedric Maake;;South Africa;1996-1997;27;35+;;1996;;He killed his victims with different instruments such as guns, rocks, a knife, and a hammer. Authorities attributed the murders to two serial killers because of the inconsistent modus operandi. In some cases he killed his victims with a rock, in others he;Unknown;Wemmer Pan Killer, Hammer Killer;Power;Power/Control;Male;Adult;Male;None
Mariam Soulakiotis;;Greece;1939-1951;27;27+;;1939;;"Convent abbot believed to have murdered wealthy women and children who came into her church; the true number of her victims is a matter of debate. She officially murdered 27 and killed an additional 150 children through neglect.";Unknown;The Woman Rasputin;Femicide;Power and Hedonistic;Female;Child;Female;None
Bruce George Peter Lee;7/31/1960;United Kingdom;1973-1979;26;26;1960;1973;13;"Epileptic arsonist who killed people in the city of Hull; sentenced to life imprisonment, but was later institutionalized.";Unknown;;Power;Power/Control;Male;Adult;Male;None
The Stoneman;;India;1985-1989;25;25+;;1985;;12 homeless people were murdered in their sleep in Bombay between 1985 and 1987, and 13 in Calcutta in 1989??¬Ä¬îin all cases, by dropping a large rock over their head (an additional victim escaped, but could not identify the attacker). No one was ever ch;Unknown;;Power;Power/Control;Male;Adult;Mixed;None
Juan Corona;02.07.1934;United States;1971;25;25+;1934;1971;37;Corona was convicted of murdering ranch laborers and burying them in orchards. He was sentenced to 25 terms life imprisonment. Died from natural causes in 2019.;Rapist, Sexual Predator;The Machete Murderer;Sexual Assault;Hedonistic - Lust;Male;Adult;Male;None
Fritz Haarmann;10/25/1879;Germany;1918-1924;24;27+;1879;1918;39;Also known as the Butcher of Hanover and the Vampire of Hanover, because of his preferred method of killing by biting through his victim's throat, sometimes while sodomizing them. He would then dump the bodies in the nearby river Leine. Believed to have b;Serial Killer, Rapist, Strangler, Vampire, Sexual Predator, Vampire;The Butcher of Hanover, The Vampire of Hanover;Vampirism, Sexual Assault;Hedonistic - Lust;Male;Adult;Male;None
B??¬©la Kiss;;Hungary;1912-1916;24;24+;;1912;;Evaded arrest and conviction after the discovery of 24 bodies hidden in large metal drums on his property in 1916. At that time he was serving in the Austro-Hungarian Army, and deserted when the military was notified of the murders by civilian authorities;Unknown;;Power;Power/Control;Male;Adult;Mixed;None
Majid Salek Mohammadi;;Iran;1981-1985;24;24;;1981;;"Killed mainly women he considered unfaithful to their husbands, sometimes the children accompanying them too; committed suicide before he could be sentenced.";Unknown;;Femicide;Power and Hedonistic;Male;Child;Female;None
Yvan Keller;12/13/1960;France?Ç¬†Germany (suspected)?Ç¬†?Ç¬†Switzerland (suspected);1989-2006;23;150;1960;1989;29;"Killed and robbed old women in France's Alsace region, but also confessed to up to 150 murders, including in Germany and Switzerland; committed suicide before trial.";Unknown;The Pillow Killer;Femicide;Power and Hedonistic;Male;Adult;Female;None
Ronald Dominique;01.09.1964;United States;1997-2006;23;23+;1964;1997;33;Rapist, Strangler, Vampire;Sexual Predator, Vampire;The Bayou Strangler;Vampirism;Hedonistic;Male;Adult;Mixed;None
Juan Fernando Hermosa;2/28/1976;Ecuador;1991-1992;23;23;1976;1991;15;"Youth gang leader who murdered mostly taxi drivers and homosexuals in Quito; murdered on his 20th birthday by unknown assailants.[57]";Sexual Predator;Ni??¬±o del Terror;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Earle Nelson;5/12/1897;United States?Ç¬†Canada;1926-1927;22;25;1897;1926;29;"Necrophiliac who primarily targeted boarding house landladies on the US West Coast during 1926; he was also known as ""Gorilla Killer"" or ""the Dark Strangler"". Captured after two murders in a small (now ghost) town in southern Manitoba. Found guilty, hange";Necrophiliac;Gorilla Killeror, the Dark Strangler;Power;Power/Control;Female;Adult;Male;None
Mikhail Novosyolov;;Soviet Union?Ç¬†Russia?Ç¬†Tajikistan;1977-1995;22;22;;1977;;"Killed his victims with blows from heavy objects, then had sexual intercourse with their corpses; sentenced to civil commitment.";Necrophiliac, Sexual Predator;Necrophile Rebel;Sexual Assault;Hedonistic - Lust;Male;Adult;Male;None
Manuel Octavio Berm??¬?dez;10/15/1961;Colombia;1999-2003;21;50+;1961;1999;38;Colombian pedophile and serial killer. He confessed to killing 21 children in remote areas of Colombia. Sentenced to 40 years in prison.;Pedophile, Rapist, Strangler, Sexual Predator;El Monstruo de los Ca??¬±aduzales (The Monster of the Cane Fields);Sexual Assault;Hedonistic - Lust;Male;Child;Mixed;None
Patrick Kearney;9/24/1939;United States;1965-1977;21;43+;1939;1965;26;Would pick up young male hitch-hikers or young men from gay bars near Redondo Beach, California, and kill them. Sentenced to imprisonment for life.;Hate Crime, Necrophiliac;The Trash Bag Murderer, The Freeway Killer;Hate Crime;Mission-Oriented (Hate-Crime/Targeted Groups);Male;Adult;Male;None
William Bonin;01.08.1947;United States;1979-1980;21;36+;1947;1979;32;Bonin and three accomplices are known to have murdered a minimum of 21 youths aged between 12 and 19 in and around Los Angeles. As the majority of his victims were discarded alongside various southern California freeways, Bonin became known as the Freeway;Unknown;;Power;Power/Control;Male;Adult;Mixed;None
Vasile Tcaciuc;;Romania;1917-1935;21;26+;;1917;;Romanian man who lured victims and then murdered them with an axe. He was arrested in 1935 after a dog found a dead body in his house. He confessed to having committed at least 26 murders. He was shot dead by a policeman while trying to escape from prison;Unknown;;Power;Power/Control;Male;Adult;Male;None
Yoo Young-chul;4/18/1970;South Korea;2003-2004;21;26;1970;2003;33;Used a hammer to murder mostly older victims, until his focus shifted to the decapitation and mutilation of escorts after being dumped by a girlfriend who worked in that profession. Was sentenced to death and currently incarcerated.;Cannibal, Cannibal, Rapist, Sexual Predator;Raincoat Killer;Cannibalism, Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Francisco Guerrero P??¬©rez;;Mexico;1880-1908;21;21;;1880;;"The first captured serial killer in Mexico, who killed prostitutes in Mexico City; died in 1910 from cerebral thromboembolism and another, unspecified cause.";Hate Crime;El Chaquero;Hate Crime;Mission-Oriented (Hate-Crime/Targeted Groups);Female;Adult;Female;None
Abdullah Shah;;Afghanistan;1990s;20;20+;;1990;;Killed travelers on the road from Kabul to Jalalabad serving under Zardad Khan. Also killed his wife. Executed by gunshot in 2004.;Unknown;;Power;Power/Control;Male;Adult;Mixed;None
Jos??¬© Paz Bezerra;;Brazil;1960s-1970s;20;20+;;1960;;"Sexually violated, tortured and then murdered at least 20 women in S??¬?o Paulo and Par??¬?; sentenced to 30 years imprisonment and later released in 2001.";Rapist, Torturer, Sexual Predator;The Morumbi Monster;Sexual Assault;Hedonistic - Lust;Male;Adult;Female;None
Bulelani Mabhayi;;South Africa;2007-2012;20;20;;2007;;"Killed women and children in the village of Tholeni; sentenced from 25 years to life imprisonment.";Unknown;The Monster of Tholeni;Femicide;Power and Hedonistic;Male;Child;Female;None
Mohan Kumar;;India;2005-2009;20;20;;2005;;Lured female victims with promises of marriage and gave them cyanide, claiming they were contraceptive pills, Sentenced to death in 2013.;Unknown;Cyanide Mohan;Femicide;Power and Hedonistic;Male;Adult;Female;None
Alexander Spesivtsev;03.01.1970;Russia;1991-1996;19;82+;1970;1991;21;Cannibal admitted to 19 murders, but 82 bloody sets of clothes were found in his home, along with jewels and photographs of possibly unidentified victims. Found insane and interned in a mental hospital. His mother was sentenced to 16 years in prison for l;Cannibal;The Novokuznetsk Monster;Cannibalism;Hedonistic;Male;Adult;Male;None
Larry Eyler;12/21/1952;United States;1982-1984;19;23+;1952;1982;30;Sentenced to death for the 1984 murder and dismemberment of 15-year-old Daniel Bridges. He confessed to other homicides of young men and boys in five separate states. Died of AIDS complications in 1994.;Unknown;The Interstate Killer;Power;Power/Control;Female;Adult;Male;None
Surinder Koli;;India;2005-2006;19;30+;;2005;;Between 2005 and 2006, a domestic servant of Indian businessman Moninder Singh Pandher, Surender Koli, kidnapped, raped, murdered, and dismembered 19 people, mostly children. Convicted.;Cannibal, Rapist, Pedophile, Necrophiliac, Strangler, Cannibal, Sexual Predator;;Cannibalism, Sexual Assault;Hedonistic - Lust;Female;Child;Male;None
El Psic??¬?pata;;Costa Rica;1986-1996;19;19+;;1986;;Unidentified serial killer who killed 19 people with an M3 submachine gun in three Costa Rican towns, always south of the Florencio del Castillo Highway.;Unknown;The Psychopath;Power;Power/Control;Male;Adult;Mixed;None
Sergei Ryakhovsky;12/29/1962;Soviet Union?Ç¬†Russia;1988-1993;19;19+;1962;1988;26;He was convicted for the murders of at least 19 victims. Died from tuberculosis in 2005.;Strangler, Necrophiliac;The Balashikha Ripper, The Hippopotamus;Power;Power/Control;Male;Adult;Mixed;None
Yevgeny Chuplinsky;;Russia;1998-2006;19;19+;;1998;;"Killed prostitutes in Novosibirsk; despite extensive police search and the capture of another serial killer, he was only arrested in 2016; sentenced to life imprisonment.";Hate Crime;The Novosibirsk Maniac;Hate Crime;Mission-Oriented (Hate-Crime/Targeted Groups);Female;Adult;Female;None
M. Jaishankar;;India;2008-2011;19;19+;;2008;;Accused of killing at least 19 women. Charged with 13 murders, he escaped during a trial transport. Killed eight more people in two months before he was recaptured. Sentenced to 27 years. Committed suicide by slashing his wrists with a shaving blade in pr;Unknown;;Femicide;Power and Hedonistic;Male;Adult;Female;None
Ansis Kaup?Ñ¬ìns;11/2/1895;Latvia;1920-1926;19;19;1895;1920;25;"Army deserter who committed 30 robberies and killed 19 people; the most infamous Latvian criminal; executed by hanging in 1927.";Unknown;;Power;Power/Control;Male;Adult;Mixed;None
Vadim Ershov;;Russia;1992-1995;19;19;;1992;;"Committed 70 crimes around the Krasnoyarsk area, including 19 murders and eight attempted murders; sentenced to death, commuted to life imprisonment.";Unknown;The Krasnoyarsk Beast;Power;Power/Control;Male;Adult;Male;None
Velaphi Ndlangamandla;;South Africa;1998;19;19;;1998;;"Robbed who murdered people around Mpumalanga in his crime spree; sentenced to 137 years imprisonment.";Unknown;The Saloon Killer;Power;Power/Control;Male;Adult;Male;None
Yavuz Yap?Ñ¬±c?Ñ¬±o?Ñ¬?lu;;Turkey;1994-2002;18+;40+;;1994;;Killed in various cities of Turkey. 18 murders proven and accused of more than 40 by eyewitnesses and relatives.;Unknown;;Power;Power/Control;Male;Adult;Mixed;None
Paul John Knowles;4/17/1946;United States;1974;20;35;1946;1974;28;Killed 18 people in various states in 1974. Claimed 35 murders. Shot dead by FBI agents.;Rapist, Strangler, Sexual Predator;The Casanova Killer;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Thierry Paulin;11/28/1963;France;1984-1987;18;21;1963;1984;21;Killed and robbed elderly women. Died of AIDS in 1989 in prison before trial.;Hate Crime, Strangler;The Monster of Montmartre;Targeted Groups;Mission-Oriented (Hate-Crime/Targeted Groups);Male;Adult;Female;Elderly
Randall Woodfield;12/26/1950;United States;1979-1981;18;44;1950;1979;29;Suspected of as many as 44 murders. Sentenced to imprisonment for life.;Unknown;The I-5 Killer, The I-5 Bandit;Power;Power/Control;Male;Adult;Male;None
Umesh Reddy;;India;1996-2002;18;18+;;1996;;Confessed to 18 rapes and murders. Sentenced to death.;Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Christopher Mhlengwa Zikode;;South Africa;1994-1995;18;18+;;1994;;Murdered 18 people in Donnybrook, KwaZulu Natal from 1994-1995.;Necrophiliac, Rapist, Sexual Predator;Donnybrook Serial Killer;Sexual Assault;Hedonistic - Lust;Male;Adult;Mixed;None
Asande Baninzi;;South Africa;2001;18;18;;2001;;"Killed 18 people in three months, including a family of four; given 19 life sentences and 189 years of imprisonment.";Unknown;;Power;Power/Control;Male;Adult;Male;None
Huang Yong;11/18/1974;China;2001-2003;17;25;1974;2001;27;Huang Yong a Chinese serial killer and homosexual rapist. Huang lured victims to his apartment, where he would drug, strangle rape murder and bury seventeen teenage boys. He is suspected of twenty-five murders between 2001 and 2003. In 2003 a victim escap;Rapist, Strangler, Torturer, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Adult;Male;None
Pedro Pablo Nakada Lude??¬±a;2/28/1973;Peru;2005-2006;17;25;1973;2005;32;Convicted of 17 murders and claimed 25. Sentenced to 35 years in prison.;Unknown;"El Ap??¬?stol de la Muerte (""The Apostle of Death"")";Power;Power/Control;Male;Adult;Mixed;None
Darbara Singh;;India;2004;17;23;;2004;;"Sexually assaulted and then murdered children of non-Punjabi immigrants; died in 2018 while serving a life sentence.";Pedophile, Sexual Predator;;Sexual Assault;Hedonistic - Lust;Male;Child;Mixed;None
Sergei Dovzhenko;6/30/1972;Ukraine;1992-2002;17;19;1972;1992;20;"Killed people because they were ""mocking"" him; sentenced to life imprisonment.";Unknown;Murchik;Power;Power/Control;Male;Adult;Male;None
Donato Bilancia;07.10.1951;Italy;1997-1998;17;17;1951;1997;46;Burglar who murdered 17 people, mainly prostitutes, between 1997 and 1998, during a six-month period. Sentenced to imprisonment for life.;Hate Crime;Prostitutes Killer, Liguria Monster;Hate Crime;Mission-Oriented (Hate-Crime/Targeted Groups);Male;Adult;Female;None
